Name,CandidatesForFusion,NumberOfBranches,|
MultiSource/Benchmarks/Olden/power/power,1,38
MultiSource/Benchmarks/Olden/treeadd/treeadd,*,5
MultiSource/Benchmarks/Olden/tsp/tsp,7,36
MultiSource/Benchmarks/Olden/voronoi/voronoi,1,50
MultiSource/Benchmarks/PAQ8p/paq8p,39,991
MultiSource/Benchmarks/Prolangs-C/agrep/agrep,*,871
MultiSource/Benchmarks/Prolangs-C/allroots/allroots,4,18
MultiSource/Benchmarks/Prolangs-C/assembler/assembler,2,321
MultiSource/Benchmarks/Prolangs-C/bison/mybison,1,896
MultiSource/Benchmarks/Prolangs-C/cdecl/cdecl,*,221
MultiSource/Benchmarks/Prolangs-C/compiler/compiler,24,346
MultiSource/Benchmarks/Prolangs-C/fixoutput/fixoutput,*,17
MultiSource/Benchmarks/Prolangs-C/football/football,13,558
MultiSource/Benchmarks/Prolangs-C/gnugo/gnugo,2,444
MultiSource/Benchmarks/Prolangs-C/loader/loader,3,133
MultiSource/Benchmarks/Prolangs-C/simulator/simulator,5,597
MultiSource/Benchmarks/Prolangs-C/TimberWolfMC/timberwolfmc,30,4160
MultiSource/Benchmarks/Prolangs-C/unix-smail/unix-smail,1,424
MultiSource/Benchmarks/Prolangs-C/unix-tbl/unix-tbl,3,696
MultiSource/Benchmarks/Prolangs-C++/city/city,5,55
MultiSource/Benchmarks/Prolangs-C++/deriv1/deriv1,*,1
MultiSource/Benchmarks/Prolangs-C++/deriv2/deriv2,*,39
MultiSource/Benchmarks/Prolangs-C++/employ/employ,*,20
MultiSource/Benchmarks/Prolangs-C++/family/family,*,3
MultiSource/Benchmarks/Prolangs-C++/fsm/fsm,*,12
MultiSource/Benchmarks/Prolangs-C++/garage/garage,*,9
MultiSource/Benchmarks/Prolangs-C++/life/life,2,23
MultiSource/Benchmarks/Prolangs-C++/NP/np,*,*
MultiSource/Benchmarks/Prolangs-C++/objects/objects,*,43
MultiSource/Benchmarks/Prolangs-C++/ocean/ocean,1,35
MultiSource/Benchmarks/Prolangs-C++/office/office,1,2
MultiSource/Benchmarks/Prolangs-C++/primes/primes,*,2
MultiSource/Benchmarks/Prolangs-C++/shapes/shapes,1,21
MultiSource/Benchmarks/Prolangs-C++/simul/simul,*,34
MultiSource/Benchmarks/Prolangs-C++/trees/trees,2,19
MultiSource/Benchmarks/Prolangs-C++/vcirc/vcirc,*,4
MultiSource/Benchmarks/Ptrdist/anagram/anagram,*,57
MultiSource/Benchmarks/Ptrdist/bc/bc,23,590
MultiSource/Benchmarks/Ptrdist/ft/ft,2,80
MultiSource/Benchmarks/Ptrdist/ks/ks,*,66
MultiSource/Benchmarks/Ptrdist/yacr2/yacr2,1,415
MultiSource/Benchmarks/SciMark2-C/scimark2,*,80
MultiSource/Benchmarks/sim/sim,1,325
MultiSource/Benchmarks/tramp3d-v4/tramp3d-v4,281,3016
MultiSource/Benchmarks/Trimaran/enc-3des/enc-3des,*,23
MultiSource/Benchmarks/Trimaran/enc-md5/enc-md5,*,14
MultiSource/Benchmarks/Trimaran/enc-pc1/enc-pc1,*,8
MultiSource/Benchmarks/Trimaran/enc-rc4/enc-rc4,*,8
MultiSource/Benchmarks/Trimaran/netbench-crc/netbench-crc,*,10
MultiSource/Benchmarks/Trimaran/netbench-url/netbench-url,1,47
MultiSource/Benchmarks/TSVC/ControlFlow-dbl/ControlFlow-dbl,*,254
MultiSource/Benchmarks/TSVC/ControlFlow-flt/ControlFlow-flt,*,254
MultiSource/Benchmarks/TSVC/ControlLoops-dbl/ControlLoops-dbl,*,211
MultiSource/Benchmarks/TSVC/ControlLoops-flt/ControlLoops-flt,*,211
MultiSource/Benchmarks/TSVC/CrossingThresholds-dbl/CrossingThresholds-dbl,*,204
MultiSource/Benchmarks/TSVC/CrossingThresholds-flt/CrossingThresholds-flt,*,204
MultiSource/Benchmarks/TSVC/Equivalencing-dbl/Equivalencing-dbl,*,198
MultiSource/Benchmarks/TSVC/Equivalencing-flt/Equivalencing-flt,*,198
MultiSource/Benchmarks/TSVC/Expansion-dbl/Expansion-dbl,*,211
MultiSource/Benchmarks/TSVC/Expansion-flt/Expansion-flt,*,211
MultiSource/Benchmarks/TSVC/GlobalDataFlow-dbl/GlobalDataFlow-dbl,*,205
MultiSource/Benchmarks/TSVC/GlobalDataFlow-flt/GlobalDataFlow-flt,*,205
MultiSource/Benchmarks/TSVC/IndirectAddressing-dbl/IndirectAddressing-dbl,*,197
MultiSource/Benchmarks/TSVC/IndirectAddressing-flt/IndirectAddressing-flt,*,197
MultiSource/Benchmarks/TSVC/InductionVariable-dbl/InductionVariable-dbl,*,205
MultiSource/Benchmarks/TSVC/InductionVariable-flt/InductionVariable-flt,*,205
MultiSource/Benchmarks/TSVC/LinearDependence-dbl/LinearDependence-dbl,*,217
MultiSource/Benchmarks/TSVC/LinearDependence-flt/LinearDependence-flt,*,217
MultiSource/Benchmarks/TSVC/LoopRerolling-dbl/LoopRerolling-dbl,*,191
MultiSource/Benchmarks/TSVC/LoopRerolling-flt/LoopRerolling-flt,*,191
MultiSource/Benchmarks/TSVC/LoopRestructuring-dbl/LoopRestructuring-dbl,*,209
MultiSource/Benchmarks/TSVC/LoopRestructuring-flt/LoopRestructuring-flt,*,209
MultiSource/Benchmarks/TSVC/NodeSplitting-dbl/NodeSplitting-dbl,*,195
MultiSource/Benchmarks/TSVC/NodeSplitting-flt/NodeSplitting-flt,*,195
MultiSource/Benchmarks/TSVC/Packing-dbl/Packing-dbl,*,193
MultiSource/Benchmarks/TSVC/Packing-flt/Packing-flt,*,193
MultiSource/Benchmarks/TSVC/Recurrences-dbl/Recurrences-dbl,*,189
MultiSource/Benchmarks/TSVC/Recurrences-flt/Recurrences-flt,*,189
MultiSource/Benchmarks/TSVC/Reductions-dbl/Reductions-dbl,*,224
MultiSource/Benchmarks/TSVC/Reductions-flt/Reductions-flt,*,224
MultiSource/Benchmarks/TSVC/Searching-dbl/Searching-dbl,*,190
MultiSource/Benchmarks/TSVC/Searching-flt/Searching-flt,*,190
MultiSource/Benchmarks/TSVC/StatementReordering-dbl/StatementReordering-dbl,*,189
MultiSource/Benchmarks/TSVC/StatementReordering-flt/StatementReordering-flt,*,189
MultiSource/Benchmarks/TSVC/Symbolics-dbl/Symbolics-dbl,*,196
MultiSource/Benchmarks/TSVC/Symbolics-flt/Symbolics-flt,*,196
MultiSource/Benchmarks/VersaBench/8b10b/8b10b,*,11
MultiSource/Benchmarks/VersaBench/beamformer/beamformer,*,33
MultiSource/Benchmarks/VersaBench/bmm/bmm,*,14
MultiSource/Benchmarks/VersaBench/dbms/dbms,2,316
MultiSource/Benchmarks/VersaBench/ecbdes/ecbdes,*,24
SingleSource/Benchmarks/Adobe-C++/functionobjects,8,207
SingleSource/Benchmarks/Adobe-C++/loop_unroll,*,1045
SingleSource/Benchmarks/Adobe-C++/simple_types_constant_folding,*,892
SingleSource/Benchmarks/Adobe-C++/simple_types_loop_invariant,*,523
SingleSource/Benchmarks/Adobe-C++/stepanov_abstraction,12,171
SingleSource/Benchmarks/Adobe-C++/stepanov_vector,22,176
SingleSource/Benchmarks/BenchmarkGame/Large/fasta,*,10
SingleSource/Benchmarks/BenchmarkGame/fannkuch,*,14
SingleSource/Benchmarks/BenchmarkGame/n-body,*,7
SingleSource/Benchmarks/BenchmarkGame/nsieve-bits,*,7
SingleSource/Benchmarks/BenchmarkGame/partialsums,*,2
SingleSource/Benchmarks/BenchmarkGame/puzzle,*,7
SingleSource/Benchmarks/BenchmarkGame/recursive,*,6
SingleSource/Benchmarks/BenchmarkGame/spectral-norm,*,8
SingleSource/Benchmarks/CoyoteBench/almabench,*,13
SingleSource/Benchmarks/CoyoteBench/fftbench,*,47
SingleSource/Benchmarks/CoyoteBench/huffbench,*,43
SingleSource/Benchmarks/CoyoteBench/lpbench,*,39
SingleSource/Benchmarks/Dhrystone/dry,*,20
SingleSource/Benchmarks/Dhrystone/fldry,*,20
SingleSource/Benchmarks/Linpack/linpack-pc,1,79
SingleSource/Benchmarks/McGill/chomp,*,50
SingleSource/Benchmarks/McGill/exptree,*,39
SingleSource/Benchmarks/McGill/misr,*,28
SingleSource/Benchmarks/McGill/queens,*,23
SingleSource/Benchmarks/Misc/dt,*,3
SingleSource/Benchmarks/Misc/fbench,1,18
SingleSource/Benchmarks/Misc/ffbench,*,29
SingleSource/Benchmarks/Misc/flops-1,*,1
SingleSource/Benchmarks/Misc/flops-2,*,2
SingleSource/Benchmarks/Misc/flops-3,*,1
SingleSource/Benchmarks/Misc/flops-4,*,1
SingleSource/Benchmarks/Misc/flops-5,*,1
SingleSource/Benchmarks/Misc/flops-6,*,1
SingleSource/Benchmarks/Misc/flops-7,*,1
SingleSource/Benchmarks/Misc/flops-8,*,1
SingleSource/Benchmarks/Misc/flops,1,14
SingleSource/Benchmarks/Misc/fp-convert,*,4
SingleSource/Benchmarks/Misc/himenobmtxpa,*,26
SingleSource/Benchmarks/Misc/lowercase,*,8
SingleSource/Benchmarks/Misc/mandel-2,*,4
SingleSource/Benchmarks/Misc/mandel,*,4
SingleSource/Benchmarks/Misc/matmul_f64_4x4,*,4
SingleSource/Benchmarks/Misc/oourafft,*,49
SingleSource/Benchmarks/Misc/perlin,*,10
SingleSource/Benchmarks/Misc/pi,*,2
SingleSource/Benchmarks/Misc/ReedSolomon,*,86
SingleSource/Benchmarks/Misc/richards_benchmark,1,27
SingleSource/Benchmarks/Misc/salsa20,1,6
SingleSource/Benchmarks/Misc/whetstone,*,30
SingleSource/Benchmarks/Misc-C++/Large/ray,*,26
SingleSource/Benchmarks/Misc-C++/Large/sphereflake,1,33
SingleSource/Benchmarks/Misc-C++/bigfib,7,71
SingleSource/Benchmarks/Misc-C++/mandel-text,*,9
SingleSource/Benchmarks/Misc-C++/oopack_v1p8,1,38
SingleSource/Benchmarks/Misc-C++/stepanov_container,25,187
SingleSource/Benchmarks/Misc-C++/stepanov_v1p2,*,33
SingleSource/Benchmarks/Misc-C++-EH/spirit,8,496
SingleSource/Benchmarks/Polybench/datamining/correlation/correlation,*,18
SingleSource/Benchmarks/Polybench/datamining/covariance/covariance,*,15
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/2mm/2mm,*,20
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/3mm/3mm,*,23
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/atax/atax,*,12
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/bicg/bicg,*,13
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/cholesky/cholesky,*,12
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/doitgen/doitgen,*,17
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/gemm/gemm,*,15
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/gemver/gemver,*,14
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/gesummv/gesummv,*,9
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/mvt/mvt,*,11
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/symm/symm,*,13
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/syr2k/syr2k,*,15
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/syrk/syrk,*,15
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/trisolv/trisolv,*,9
SingleSource/Benchmarks/Polybench/linear-algebra/kernels/trmm/trmm,*,11
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/durbin/durbin,*,11
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/dynprog/dynprog,*,11
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/gramschmidt/gramschmidt,*,22
SingleSource/Benchmarks/Polybench/linear-algebra/solvers/lu/lu,*,12
SingleSource/Benchmarks/Polybench/medley/floyd-warshall/floyd-warshall,*,12
SingleSource/Benchmarks/Polybench/medley/reg_detect/reg_detect,*,18
SingleSource/Benchmarks/Polybench/stencils/adi/adi,*,19
SingleSource/Benchmarks/Polybench/stencils/fdtd-2d/fdtd-2d,*,17
SingleSource/Benchmarks/Polybench/stencils/fdtd-apml/fdtd-apml,*,17
SingleSource/Benchmarks/Polybench/stencils/jacobi-1d-imper/jacobi-1d-imper,*,9
SingleSource/Benchmarks/Polybench/stencils/jacobi-2d-imper/jacobi-2d-imper,*,13
SingleSource/Benchmarks/Polybench/stencils/seidel-2d/seidel-2d,*,11
SingleSource/Benchmarks/Shootout/ackermann,1,3
SingleSource/Benchmarks/Shootout/ary3,*,4
SingleSource/Benchmarks/Shootout/fib2,*,2
SingleSource/Benchmarks/Shootout/hash,1,15
SingleSource/Benchmarks/Shootout/heapsort,*,8
SingleSource/Benchmarks/Shootout/hello,*,*
SingleSource/Benchmarks/Shootout/lists,*,23
SingleSource/Benchmarks/Shootout/matrix,*,10
SingleSource/Benchmarks/Shootout/methcall,*,4
SingleSource/Benchmarks/Shootout/nestedloop,*,7
SingleSource/Benchmarks/Shootout/objinst,*,7
SingleSource/Benchmarks/Shootout/random,1,2
SingleSource/Benchmarks/Shootout/sieve,*,6
SingleSource/Benchmarks/Shootout/strcat,*,6
SingleSource/Benchmarks/Shootout-C++/EH/except,*,7
SingleSource/Benchmarks/Shootout-C++/ackermann,*,4
